Brand_ID,Brand,Owner,Ownership Type,Notes
1,3 Musketeers,Mars,Megacorp,
2,7th Generation,Unilever,Megacorp,But they sure looked natural...
3,A1 Steak sauce,Kraft-Heinz,Megacorp,
4,AIM,Church & Dwight,Megacorp,
5,Alani Nu,Congo Brands,Founder owned/Private equity backed,
6,Alba Botanicals,Hain Celestial Group,Megacorp,
7,Alessi,Alessi family,Family owned,Third generation.
8,All American Crackers,Harris family,Family owned,"Based in Seattle, second generation"
9,All-bran,Kellogg's,Megacorp,
10,Almond Joy,The Hershey Company,Megacorp,
11,Alpen Muesli,Post,Megacorp,
12,Alter Eco,Next World Evergreen,Private Equity,Acquired in 2017
13,Amara,Jess Sturzenegger,Female founder owned,
14,Amazon Flakes,Nature's Path,Founder Family Owned,
15,Angel Soft,Koch Industries,Megacorp,The Koch family megacorp- this is through their ownership of Georgia Pacific LLC
16,Annie's homegrown,General Mills,Megacorp,
17,Annies Organic Cocoa Bunnies,General Mills,Megacorp,Annie's Homegrown is owned by General Mills
18,Apple Jacks,Kellogg's,Megacorp,
19,Aquafresh,GSK ,Megacorp,
20,Aquaphor,Maxingvest AG,Megacorp,Owned by Biersedorf which is controled by Maxingvest AG which is a circular ownership scheme of the Herz family worth about $8 billion
21,Aquis ,Britta Cox and Suveen Sahib,Female founder owned and her husband,
22,Arizona Iced Tea,Don Voltagio,Founder owned,His story is funny and pretty wild if you wanna look into it.
23,Arm & Hammer,Church & Dwight,Megacorp,
24,As I am,Dr. Ali Syed,Founder owned,
25,Attitude,Jean-Francois Bernier,Privately owned,He bought the company when it was teeny tiny and grew it. Apparently not private equity backed...
26,August,Nadya Okamoto & Nick Jain,Founder Owned,
27,Aunt Jackies,House of Cheatham,Privately owned,Seems super sketchy
28,Auntie Annie's,General Mills,Megacorp,
29,Aussie,Procter & Gamble,Megacorp,
30,Aveeno,Johnson & Johnson,Megacorp,"As of July 2023, they plan to spin off Kenvue as a seperate company."
31,Aveeno Baby,Johnson & Johnson,Megacorp,Owned by Kenvue whic is owned by J&J
32,Axe,Unilever,Megacorp,
33,Aztec Secret,Patrick K Roman,Founder owned,
34,Baby Dove,Unilever,Megacorp,
35,Baby gourmet,Jennifer Carlson and Jill Vos,Female founder owned,
36,Babybel,Unibel,Megacorp (French),
37,Back to Nature,Barilla,Megacorp,
38,Bang,Monster Beverage Corp,Megacorp,Went through bankruptcy in 2023 and got bought
39,Barbara's,Post,Megacorp,
40,Bark Thins,The Hershey Company,Megacorp,
41,Basic 4,General Mills,Megacorp,
42,Baskin Robbins,Inspire Brands,Private Equity,Fuq these guys
43,Batiste,Church & Dwight,Megacorp,
44,Beach Nut,Oetker Group,Family megacorp,
45,Bear Naked Granola,Kellogg's,Megacorp,
46,Beaver mustard,Beaverton Foods,Family owned,
47,Bed Head,Unilever via Toni & Guy,Megacorp,
48,Bellatoria,Bernatello's Foods,Ramsay Family,
49,Ben & Jerry's,Unilever,Megacorp,I don't write the rules here guys.
50,Bernstein's dressing,Conagra Brands,Megacorp,
51,Bertolli,Mizkan Group,Megacorp,Based in Japan
52,Best Damn,Main Post Partners,Private Equity,This is just a Duke Cannon brand
53,Best foods mayo,Unilever,Megacorp,
54,Better Oats,Post,Megacorp,
55,Beyond Good,Tim McCollum,Founder owned,
56,Beyond Raw,Harbin Pharmaceutical,Megacorp,This is just a GNC brand. See notes on GNC.
57,Bigelow,Bigelow Family,Family owned,Third generation now. Cindi Bigelow is current CEO & president
58,Bio-engineered Supplements & Nutrition (BSN),Glanbia Plc,Megacorp,At least the top shareholders aren't Blackrock and Vanguard
59,Biore,Kao Corporation,Megacorp,Based in Tokyo
60,Black Rifle Coffee Co.,Evan Hafer,Founder owned,Veteran owned. Hafer was a green beret for 15 years.
61,Blue Diamond,Farmer's co-op,Co-op,"Almond farmers in California, since 1910."
62,Bobbie,Laura Modi & Sarah Hardy,Female founder owned,"Legit as hell. New company, full of energy and advocacy. Check them out."
63,Body Armor,Coca-cola,Megacorp,
64,Boogie Wipes,Eleeo Brands,Private Equity,Feels like classic soulless private equity and they've been passed around between private equity companies since 2012
65,Bouchard,Charlie Investors,Private Equity,Bouchard was bought by Halloren which is controlled by Charlie Investors which is primarily controlled by two German families is what it seems like.
